track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2jz0DAnooOMwtuzboHP3VE,0.673,0.241,8,-14.259,1,0.0371,0.744,0.000108,0.0991,0.135,121.962,4
6ofMKJjMpfDEb48JYEAgjX,0.509,0.46,6,-8.474,1,0.0335,0.523,0.0,0.112,0.291,133.016,4
0hkppOIXAfknRGYr34sLgy,0.447,0.555,10,-6.951,1,0.0262,0.0811,0.0,0.157,0.219,142.891,3
4S7ddJ34xx6ZIkQ4a1LDRm,0.167,0.205,5,-12.822,0,0.0398,0.982,0.909,0.0965,0.0331,64.018,3
6ua4ZcCoSABREsczFvGLI6,0.297,0.264,8,-12.537,1,0.0387,0.943,1.4e-05,0.7,0.247,62.074,4
1nHM5nGsbpskmBnZOfxirW,0.0691,0.0614,0,-19.004,0,0.0385,0.85,0.912,0.0533,0.03,73.215,3
2UW59tk0OratchGvwN2uRr,0.0812,0.0226,0,-32.037,0,0.0412,0.971,0.921,0.119,0.0394,82.037,4
4A9NGq1VZI3cwalNWZvLVR,0.0958,0.252,7,-15.348,1,0.0348,0.273,0.928,0.11,0.038,67.211,3
2EBHPEJWmYj4W1HV3l0VZ6,0.278,0.509,7,-8.573,1,0.0374,0.753,0.96,0.129,0.0852,91.773,3
732QOzrBUFi0gGWNU9gB7d,0.251,0.333,10,-9.137,1,0.0336,0.411,1.98e-06,0.11,0.219,76.335,4
7hs0pXWvIkYEFeQYfUa42B,0.269,0.18,7,-12.932,0,0.0363,0.888,0.00583,0.0604,0.0782,136.055,4
1LNrPxRlSkIROZIZ4ldKoH,0.295,0.0433,4,-25.464,1,0.0373,0.976,0.905,0.0992,0.0523,137.592,4
3aLbDGVIbZHUDjQXjfrvBP,0.532,0.807,1,-4.281,1,0.0527,0.083,0.0,0.123,0.335,166.925,4
4BrX9il0kSbL8xtlHjQbpP,0.206,0.19,8,-15.396,1,0.0384,0.974,0.808,0.131,0.0368,79.811,3
3kSXn1osC89W8JcPLozTzs,0.506,0.897,9,-4.632,1,0.26,0.146,0.000451,0.0868,0.525,188.03,4
46bzMOnJ1anlTrDCGWH30H,0.178,0.00505,3,-32.978,1,0.0366,0.993,0.821,0.0844,0.0684,136.546,4
5lb8hYTICPj3WGIiaW1qla,0.119,0.0347,11,-24.575,0,0.0394,0.975,0.904,0.0815,0.0347,95.597,4
5tgyHc2LLF0BI2udBTMFJz,0.0912,0.0583,9,-24.011,0,0.0382,0.848,0.877,0.117,0.0367,86.432,5
38UEe6tvR5IufCUwFa7tXB,0.378,0.497,9,-12.019,1,0.0406,0.758,0.92,0.186,0.159,119.962,4
5lbZL5xmyJHtrrioldEyXX,0.255,0.229,6,-16.2,1,0.0373,0.68,0.000674,0.395,0.152,77.899,5
