id,name,artist,album,release_date,duration_ms,popularity
5cEap0vG6Dc6TJDN77cyF9,When You're Not Here,Michael Bublé,love (Deluxe Edition),2018-11-16,218261,40
4T6HLdP6OcAtqC6tGnQelG,Everything,Michael Bublé,Call Me Irresponsible,2007-04-27,212373,70
3I09LQbHS3NSU46Ly3tPpR,Feeling Good,Michael Bublé,It's Time,2005-02-07,237333,66
4zKbPdCC2o8726tHh5sEJw,Always on My Mind,Michael Bublé,Call Me Irresponsible,2007-04-27,269800,54
6d2i9NFTSQaXIwQUSombV7,At This Moment,Michael Bublé,Crazy Love,2009-10-06,275373,37
1YlCqvmX9P8XlAKPyHyGw1,You're Nobody till Somebody Loves You,Michael Bublé,Crazy Love,2009-10-06,187400,37
5i04Jy87RLxoZszJqY3QAN,Cry Me a River,Michael Bublé,Crazy Love,2009-10-06,254746,51
4IbOPxstIn2KbdlWf5xRZ0,Georgia on My Mind,Michael Bublé,Crazy Love,2009-10-06,188226,49
1NnBOnFPFdYJdauawQt5bN,Save the Last Dance for Me,Michael Bublé,It's Time,2005-02-07,218613,54
7vySXLEg91xiAi8J0Qiqwv,The Impossible Dream (The Quest),Frank Sinatra,That's Life,1966-11,151266,39
2KNMqqNd3sLfeN4ukKduRT,Moon River,Frank Sinatra,"Days Of Wine And Roses, Moon River And Other Academy Award Winners",1964,199133,56
6ft9PAgNOjmZ2kFVP7LGqb,Can't Take My Eyes off You,Frankie Valli,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14,203240,68
2ODCaqPXjIELP6Wjrg6h53,Love at First Sight,Michael Bublé,Totally Bublé,2003-09-09,198933,23
1QELw50Dl95LusF6uOkDqk,La vie en rose (feat. Cécile McLorin Salvant),Michael Bublé,love (Deluxe Edition),2018-11-16,229963,52
1zwMYTA5nlNjZxYrvBB2pV,Someone Like You,Adele,21,2011-01-24,285240,78
73CMRj62VK8nUS4ezD2wvi,Set Fire to the Rain,Adele,21,2011-01-24,242973,78
05TOt5Vz4StdjMpEdFPlvB,All I Ask,Adele,25,2015-11-20,271800,69
1hHuyqVCZCbhYQixEkdQCo,Sing for Absolution,Muse,Absolution,2004-03-23,294866,1
5ONbCAFFnAJ0YGClEeddcU,Patience,The Lumineers,Cleopatra,2016-04-08,97051,22
1yHVHoz6Ny29gbbWJYVnFt,Heaven,Niall Horan,Heaven,2023-02-17,186043,2
26hOm7dTtBi0TdpDGl141t,Die For You,Joji,SMITHEREENS,2022-11-04,211666,75
69rSEDWuvLS6yyNcESulCc,Just Friends,JORDY,Just Friends,2018-10-26,189631,3
6LXIhiXK8z1KLd3giR904b,Smells Like Me,Charlie Puth,Smells Like Me,2022-09-02,204079,49
0qCcqa0gYjW8rerrC10yun,Better Alone,Benson Boone,Better Alone,2022-07-22,209895,57
2IOFZdYYkFxEHVz1w34PoL,Cherry,Harry Styles,Fine Line,2019-12-13,259186,68
4G92yYrUs0cvY7G41YRI0z,Jealous,Labrinth,Jealous - EP,2014-11-23,287693,70
2t3IK52qKDAR2fo5EBkCFT,Je te le donne,Vitaa,Je te le donne,2018-08-24,233973,23
18XEJ4bMuqM0YIrZuir4xy,Good bye my love,AILEE,You are my destiny OST Part.6,2014-08-13,256305,0
1IdM9JrXYuMYiTdM983oH4,"Not Spring, Love, or Cherry Blossoms",HIGH4,"Not Spring, Love, or Cherry Blossoms",2014-04-08,195265,51
6lrZiAgjWUcfuj5HHxPsZF,My way,ISU,"Money Flower, (Original Television Soundtrack)",2018-02-03,276747,0
0TxSk5fpK01cBLV9ePqcE6,She's In The Rain,The Rose,Dawn,2018-10-04,237576,0
63MgFVcIldlw51imFtcgK1,El Perdón,Nicky Jam,El Perdón (w/ Enrique Iglesias),2016-04-19,207013,0
7neOIVKDsLaUXV5y84jGuY,I Don't Love You,Urban Zakapa,STILL,2016-05-27,254924,51
4mj63a9c899Cs5l8gwuC0e,인연,Sohyang,나는 가수다 2 2012 가왕전 4강전,2012-12-16,267656,0
5mTmB6IgMzomkJvOkQ8WDV,올해 제일 잘한 일 The Best Thing I Ever Did,TWICE,"The year of ""YES""",2018-12-12,210450,0
1obtU03RXYzuNnzGe31arn,LOVE DAY,YANG YO SEOP,`A CUBE` FOR SEASON # GREEN,2012-03-14,237165,32
1VrUu8hMTMslRSjsDpSJKc,RE-BYE,AKMU,SPRING,2016-05-04,188716,0
1HYzRuWjmS9LXCkdVHi25K,Stay With Me,CHANYEOL,"Guardian (Original Television Soundtrack), Pt. 1",2016-12-03,192441,69
3IPJg1sdqLj12kFIndaonN,No Hay Nadie Más,Sebastian Yatra,MANTRA,2018-05-18,199733,73
6rPO02ozF3bM7NnOV4h6s2,Despacito - Remix,Luis Fonsi,Despacito Feat. Justin Bieber (Remix),2017-04-17,228826,69
32lm3769IRfcnrQV11LO4E,Bailando - Spanish Version,Enrique Iglesias,SEX AND LOVE (Deluxe),2014-01-01,243413,66
0Kt035u0yJBkOnM1BYPpI6,Culpa al Corazón,Prince Royce,FIVE (Deluxe Edition),2017-02-24,222080,54
4qzBepJAKtYu4T1GDtBZZc,"눈,코,입 (Eyes, Nose, Lips)",TAEYANG,RISE,2014-06-13,229989,0
6yWUojjtn6IMmZEgHyfblf,제발,KIM BUMSOO,서바이벌 나는 가수다 경연 2 - 서로의 노래 바꿔 부르기,2011-03-27,281959,0
7k5iu5vr7IEW3BdSgwY9mw,Memory Of The Wind,Naul,Principle Of My Soul,2012-09-20,308186,0
4lt4QTuoYOEEOhrNDZJ1o8,Room Shaker,AILEE,butterFLY,2019-07-02,195026,34
0IHgyl0zAHIj7kpm4YKKv3,Sun And Moon,Sam Kim,Sun And Moon Part.1,2018-10-23,301059,19
2OyX69J0H3ZaO3irKbcemY,Blank,BEN,RECIPE,2018-05-08,192593,0
6nhj2meaMrV4pGKk9Q65u2,Sound of Winter,Park Hyo Shin,Sound of Winter,2018-01-01,411713,26
5Hkk4YCNakpuOpbZQo67fE,Wild Flower,Park Hyo Shin,I am A Dreamer,2016-10-03,314254,0
5WHnE8MsLFHqSUwecrs7WO,Bésame Mucho,Andrea Bocelli,Amor (Edición Especial En Español),2006-01-01,241232,61
4q5R6rdomdPOwVxJrExLkc,"The Day (From ""Mr. Sunshine [Original Television Soundtrack], Pt. 1"")",Park Hyo Shin,"The Day (From ""Mr. Sunshine [Original Television Soundtrack], Pt. 1"")",2018-07-08,292526,0
7L3borCR5Izc7zJjFpjjhh,La Llorona,Ángela Aguilar,Primero Soy Mexicana,2018-03-02,490753,3
4hNSTJdBOSWiYdiMPbFjf9,Alguien Soy Yo,Enrique Iglesias,Insomniac,2007-01-01,239146,38
4uHs0TfECKllxN8zeLWqJu,Gol,Cali Y El Dandee,3 A.M.,2012-01-01,222680,51
22CY3wlF8O6Z9QkOWYhaz5,눈 떠보니 이별이더라,4MEN,Remember Me,2017-10-24,282421,12
3B21fRFqPLmTd9zAlK0I8A,Para Enamorarte,CNCO,Primera Cita,2016-08-26,188533,53
2G0k5HoKVW3iPC1eF7Ykb7,Nadie,Matisse,Nadie,2020-05-15,198205,0
